PRODUCT,SYMBOOL | ISIN,VALUTA,LAATST,+/-,+/- %,SLOT,LAAG,HOOG,LAATSTE,
KV,XS1218821756,EUR,"% 98,05","+0,05","+0,05%","97,994","98,00","98,05",13:05:58,R
AAB 1%16APR25B,,,,,,,,,,
KV,ES0211845310,EUR,"% 93,82","-0,12","-0,12%","93,941","93,485","93,82",17:00:06,R
ABERTIS INFRA. 16-27B,,,,,,,,,,
KV,XS1114159277,EUR,"% 97,27","-0,45","-0,46%","97,721","97,14","97,37",17:00:07,R
ADIDAS AG ANL. 14/26D,,,,,,,,,,
KV,XS1720933297,EUR,% —,—,—%,"98,777",—,—,—,R
AGN 0.375%21NOV24D,,,,,,,,,,
KV,FR0013284908,EUR,"% 92,42","-0,08","-0,08%","92,50","92,34","92,45",17:20:04,R
ARKEA HOME LOANS 17/27MTNB,,,,,,,,,,
KV,BE0002844257,EUR,"% 99,63","+1,53","+1,56%","98,10","99,63","99,63",09:36:32,R
ATENOR4.625%5APR28D,,,,,,,,,,
KV,AT0000A04967,EUR,% —,—,—%,"110,096",—,—,—,R
"AUSTR4,15%15MAR37B",,,,,,,,,,
KV,OETM | AT0000A0DXC2,EUR,"% 102,00","-0,73","-0,71%","102,73","102,00","102,00",17:00:23,R
AUSTRIA 09/26 MTN 144AA,,,,,,,,,,
KV,OETP | AT0000A1XML2,EUR,"% 72,73","-0,16","-0,22%","72,896","70,50","72,90",17:10:48,R
AUSTRIA 17/2117 MTNB,,,,,,,,,,
KV,OETK | AT0000A04967,EUR,"% 109,16","-0,93","-0,85%","110,096","108,91","110,39",17:00:23,R
AUSTRIA 2037 MTN 144AB,,,,,,,,,,
KV,AUTAN | AT0000A1K9F1,EUR,% —,—,—%,"72,005",—,—,—,R
AUT1.50%20FEV2047B,,,,,,,,,,
KV,AUTAF | AT0000A10683,EUR,% —,—,—%,"94,747",—,—,—,R
AUT2.40%23MAY2034A,,,,,,,,,,
KV,AT0000A0DXC2,EUR,"% 102,76","+0,03","+0,02%","102,73","102,76","102,76",11:11:35,R
AUTRI4.85%15MAR26A,,,,,,,,,,
KV,DE000A2YN2H9,EUR,"% 98,12","-1,03","-1,04%","99,158","98,12","98,12",10:12:57,R
AVES SCHIENE IHS 19/24D,,,,,,,,,,
KV,XS0188935174,EUR,% —,—,—%,"96,71",—,—,—,R
AXA FRNPLD,,,,,,,,,,
KV,XS0203470157,EUR,% —,—,—%,"92,452",—,—,—,R
AXA FRNPLB,,,,,,,,,,
KV,AXAJ | XS0179060974,EUR,"% 91,28","0,00","0,00%","91,284","90,78","91,28",17:00:15,R
AXA S.A 03/UND. FLR MTNC,,,,,,,,,,
KV,AXAL | XS0207825364,EUR,"% 94,00","-0,54","-0,57%","94,546","93,30","94,00",17:00:23,R
AXA S.A 04/UND. FLR MTND,,,,,,,,,,
